vintage_date,value,frequency,forecast_horizon,variable,source,date
2019 Q4,0.1315992444067038,Q,1,Core goods inflation,OLS-FixedCoeff25,2020 Q1
2019 Q4,0.028882007536309665,Q,2,Core goods inflation,OLS-FixedCoeff25,2020 Q2
2019 Q4,-0.08387300704385772,Q,3,Core goods inflation,OLS-FixedCoeff25,2020 Q3
2019 Q4,0.02340498578925549,Q,4,Core goods inflation,OLS-FixedCoeff25,2020 Q4
2019 Q4,0.02349099730670983,Q,5,Core goods inflation,OLS-FixedCoeff25,2021 Q1
2019 Q4,1.0783269568174103,Q,6,Core goods inflation,OLS-FixedCoeff25,2021 Q2
2019 Q4,1.7956436514236955,Q,7,Core goods inflation,OLS-FixedCoeff25,2021 Q3
2019 Q4,1.5555991104923272,Q,8,Core goods inflation,OLS-FixedCoeff25,2021 Q4
2019 Q4,1.4532804810403148,Q,9,Core goods inflation,OLS-FixedCoeff25,2022 Q1
2019 Q4,1.0554646440871867,Q,10,Core goods inflation,OLS-FixedCoeff25,2022 Q2
2019 Q4,0.9929137148011593,Q,11,Core goods inflation,OLS-FixedCoeff25,2022 Q3
2019 Q4,0.8079752652383824,Q,12,Core goods inflation,OLS-FixedCoeff25,2022 Q4
2020 Q1,0.1927669782631493,Q,1,Core goods inflation,OLS-FixedCoeff25,2020 Q2
2020 Q1,0.041497938605602185,Q,2,Core goods inflation,OLS-FixedCoeff25,2020 Q3
2020 Q1,0.11931295064613115,Q,3,Core goods inflation,OLS-FixedCoeff25,2020 Q4
2020 Q1,0.09685997187523915,Q,4,Core goods inflation,OLS-FixedCoeff25,2021 Q1
2020 Q1,1.1344537491778846,Q,5,Core goods inflation,OLS-FixedCoeff25,2021 Q2
2020 Q1,1.838580285596405,Q,6,Core goods inflation,OLS-FixedCoeff25,2021 Q3
2020 Q1,1.588445358719749,Q,7,Core goods inflation,OLS-FixedCoeff25,2021 Q4
2020 Q1,1.4784076490963318,Q,8,Core goods inflation,OLS-FixedCoeff25,2022 Q1
2020 Q1,1.0746867655953662,Q,9,Core goods inflation,OLS-FixedCoeff25,2022 Q2
2020 Q1,1.0076185137841367,Q,10,Core goods inflation,OLS-FixedCoeff25,2022 Q3
2020 Q1,0.8192243416235129,Q,11,Core goods inflation,OLS-FixedCoeff25,2022 Q4
2020 Q1,0.995776883485621,Q,12,Core goods inflation,OLS-FixedCoeff25,2023 Q1
2020 Q2,-0.1943123213176739,Q,1,Core goods inflation,OLS-FixedCoeff25,2020 Q3
2020 Q2,-0.061080377365028395,Q,2,Core goods inflation,OLS-FixedCoeff25,2020 Q4
2020 Q2,-0.04113976062804411,Q,3,Core goods inflation,OLS-FixedCoeff25,2021 Q1
2020 Q2,1.0288848438256886,Q,4,Core goods inflation,OLS-FixedCoeff25,2021 Q2
2020 Q2,1.7578207538560393,Q,5,Core goods inflation,OLS-FixedCoeff25,2021 Q3
2020 Q2,1.526664837787337,Q,6,Core goods inflation,OLS-FixedCoeff25,2021 Q4
2020 Q2,1.431145949029138,Q,7,Core goods inflation,OLS-FixedCoeff25,2022 Q1
2020 Q2,1.0385318698526609,Q,8,Core goods inflation,OLS-FixedCoeff25,2022 Q2
2020 Q2,0.979960251717655,Q,9,Core goods inflation,OLS-FixedCoeff25,2022 Q3
2020 Q2,0.7980659495213168,Q,10,Core goods inflation,OLS-FixedCoeff25,2022 Q4
2020 Q2,0.9795908499859673,Q,11,Core goods inflation,OLS-FixedCoeff25,2023 Q1
2020 Q2,0.8394349996298932,Q,12,Core goods inflation,OLS-FixedCoeff25,2023 Q2
2020 Q3,0.6382199885291864,Q,1,Core goods inflation,OLS-FixedCoeff25,2020 Q4
2020 Q3,0.49382050922672477,Q,2,Core goods inflation,OLS-FixedCoeff25,2021 Q1
2020 Q3,1.43812600010213,Q,3,Core goods inflation,OLS-FixedCoeff25,2021 Q2
2020 Q3,2.070887599055489,Q,4,Core goods inflation,OLS-FixedCoeff25,2021 Q3
2020 Q3,1.766158955277637,Q,5,Core goods inflation,OLS-FixedCoeff25,2021 Q4
2020 Q3,1.614357404320471,Q,6,Core goods inflation,OLS-FixedCoeff25,2022 Q1
2020 Q3,1.178687451550101,Q,7,Core goods inflation,OLS-FixedCoeff25,2022 Q2
2020 Q3,1.0871783677994886,Q,8,Core goods inflation,OLS-FixedCoeff25,2022 Q3
2020 Q3,0.8800871168334676,Q,9,Core goods inflation,OLS-FixedCoeff25,2022 Q4
2020 Q3,1.0423365139940268,Q,10,Core goods inflation,OLS-FixedCoeff25,2023 Q1
2020 Q3,0.8874350279253823,Q,11,Core goods inflation,OLS-FixedCoeff25,2023 Q2
2020 Q3,-0.5563338108440647,Q,12,Core goods inflation,OLS-FixedCoeff25,2023 Q3
2020 Q4,0.1801752835347562,Q,1,Core goods inflation,OLS-FixedCoeff25,2021 Q1
2020 Q4,1.1981894252652494,Q,2,Core goods inflation,OLS-FixedCoeff25,2021 Q2
2020 Q4,1.887337666747598,Q,3,Core goods inflation,OLS-FixedCoeff25,2021 Q3
2020 Q4,1.625744440845497,Q,4,Core goods inflation,OLS-FixedCoeff25,2021 Q4
2020 Q4,1.5069412063665477,Q,5,Core goods inflation,OLS-FixedCoeff25,2022 Q1
2020 Q4,1.096514752883307,Q,6,Core goods inflation,OLS-FixedCoeff25,2022 Q2
