"vintage_date","value","frequency","forecast_horizon","variable","source","date"
"2023  Q2",1.24826177059846,"Q",0,"Core goods inflation","OLS-FixedCoeff","2023  Q2"
"2023  Q2",0.830219370463705,"Q",1,"Core goods inflation","OLS-FixedCoeff","2023  Q3"
"2023  Q2",0.550190325686201,"Q",2,"Core goods inflation","OLS-FixedCoeff","2023  Q4"
"2023  Q2",0.259335994349269,"Q",3,"Core goods inflation","OLS-FixedCoeff","2024  Q1"
"2023  Q2",0.0725683635948907,"Q",4,"Core goods inflation","OLS-FixedCoeff","2024  Q2"
"2023  Q2",-0.0412565642046864,"Q",5,"Core goods inflation","OLS-FixedCoeff","2024  Q3"
"2023  Q2",-0.0956403824635418,"Q",6,"Core goods inflation","OLS-FixedCoeff","2024  Q4"
"2023  Q2",-0.116217768614437,"Q",7,"Core goods inflation","OLS-FixedCoeff","2025  Q1"
"2023  Q2",-0.124908045852949,"Q",8,"Core goods inflation","OLS-FixedCoeff","2025  Q2"
"2023  Q2",-0.119904853266453,"Q",9,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2023  Q2",-0.107750097227583,"Q",10,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2023  Q2",-0.0921618439756636,"Q",11,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2023  Q2",-0.0827737423766603,"Q",12,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2023  Q3",1.62440635347944,"Q",0,"Core goods inflation","OLS-FixedCoeff","2023  Q3"
"2023  Q3",1.14209845828484,"Q",1,"Core goods inflation","OLS-FixedCoeff","2023  Q4"
"2023  Q3",0.808214587910057,"Q",2,"Core goods inflation","OLS-FixedCoeff","2024  Q1"
"2023  Q3",0.579467652554946,"Q",3,"Core goods inflation","OLS-FixedCoeff","2024  Q2"
"2023  Q3",0.358811024772443,"Q",4,"Core goods inflation","OLS-FixedCoeff","2024  Q3"
"2023  Q3",0.231337639562166,"Q",5,"Core goods inflation","OLS-FixedCoeff","2024  Q4"
"2023  Q3",0.155374640089143,"Q",6,"Core goods inflation","OLS-FixedCoeff","2025  Q1"
"2023  Q3",0.101344326378961,"Q",7,"Core goods inflation","OLS-FixedCoeff","2025  Q2"
"2023  Q3",0.0668494655051215,"Q",8,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2023  Q3",0.0490165571219856,"Q",9,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2023  Q3",0.0390458255527088,"Q",10,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2023  Q3",0.0267191218478015,"Q",11,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2023  Q3",0.0154187219787609,"Q",12,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2023  Q4",-0.0565933312741417,"Q",0,"Core goods inflation","OLS-FixedCoeff","2023  Q4"
"2023  Q4",-0.108308563968085,"Q",1,"Core goods inflation","OLS-FixedCoeff","2024  Q1"
"2023  Q4",-0.0841402240662978,"Q",2,"Core goods inflation","OLS-FixedCoeff","2024  Q2"
"2023  Q4",-0.193020058005446,"Q",3,"Core goods inflation","OLS-FixedCoeff","2024  Q3"
"2023  Q4",-0.21040747757041,"Q",4,"Core goods inflation","OLS-FixedCoeff","2024  Q4"
"2023  Q4",-0.196849409309096,"Q",5,"Core goods inflation","OLS-FixedCoeff","2025  Q1"
"2023  Q4",-0.178861487413317,"Q",6,"Core goods inflation","OLS-FixedCoeff","2025  Q2"
"2023  Q4",-0.158425654580805,"Q",7,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2023  Q4",-0.131575359157634,"Q",8,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2023  Q4",-0.105924200056792,"Q",9,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2023  Q4",-0.0901273215150981,"Q",10,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2023  Q4",-0.0806443819603757,"Q",11,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2023  Q4",-0.0747828597525314,"Q",12,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2024  Q1",-0.184980298617649,"Q",0,"Core goods inflation","OLS-FixedCoeff","2024  Q1"
"2024  Q1",-0.189504231898974,"Q",1,"Core goods inflation","OLS-FixedCoeff","2024  Q2"
"2024  Q1",-0.170275375632725,"Q",2,"Core goods inflation","OLS-FixedCoeff","2024  Q3"
"2024  Q1",-0.171597412595388,"Q",3,"Core goods inflation","OLS-FixedCoeff","2024  Q4"
"2024  Q1",-0.170267044398812,"Q",4,"Core goods inflation","OLS-FixedCoeff","2025  Q1"
"2024  Q1",-0.157568600600306,"Q",5,"Core goods inflation","OLS-FixedCoeff","2025  Q2"
"2024  Q1",-0.13096607192009,"Q",6,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2024  Q1",-0.101403041470316,"Q",7,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2024  Q1",-0.0721537099390247,"Q",8,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2024  Q1",-0.0578859568922495,"Q",9,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2024  Q1",-0.0545812830695432,"Q",10,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2024  Q1",-0.0545421056753729,"Q",11,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2024  Q1",-0.0488602187290733,"Q",12,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2024  Q2",0.13225041635123,"Q",0,"Core goods inflation","OLS-FixedCoeff","2024  Q2"
"2024  Q2",-0.00301624341720398,"Q",1,"Core goods inflation","OLS-FixedCoeff","2024  Q3"
"2024  Q2",0.0314082693430178,"Q",2,"Core goods inflation","OLS-FixedCoeff","2024  Q4"
"2024  Q2",-0.0361897211506413,"Q",3,"Core goods inflation","OLS-FixedCoeff","2025  Q1"
"2024  Q2",-0.0507617206677378,"Q",4,"Core goods inflation","OLS-FixedCoeff","2025  Q2"
"2024  Q2",-0.049417946583484,"Q",5,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2024  Q2",-0.042241829903946,"Q",6,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2024  Q2",-0.030690274807988,"Q",7,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
