"vintage_date","value","frequency","forecast_horizon","variable","source","date"
"2023  Q2",3.01271918111586,"Q",0,"Food inflation","OLS-FixedCoeff","2023  Q2"
"2023  Q2",1.12904172141329,"Q",1,"Food inflation","OLS-FixedCoeff","2023  Q3"
"2023  Q2",1.50434944142088,"Q",2,"Food inflation","OLS-FixedCoeff","2023  Q4"
"2023  Q2",0.325287451965633,"Q",3,"Food inflation","OLS-FixedCoeff","2024  Q1"
"2023  Q2",0.349313578567357,"Q",4,"Food inflation","OLS-FixedCoeff","2024  Q2"
"2023  Q2",0.227849860247793,"Q",5,"Food inflation","OLS-FixedCoeff","2024  Q3"
"2023  Q2",0.394114891688971,"Q",6,"Food inflation","OLS-FixedCoeff","2024  Q4"
"2023  Q2",0.903008621305664,"Q",7,"Food inflation","OLS-FixedCoeff","2025  Q1"
"2023  Q2",0.61050551457396,"Q",8,"Food inflation","OLS-FixedCoeff","2025  Q2"
"2023  Q2",0.973946656378266,"Q",9,"Food inflation","OLS-FixedCoeff","2025  Q3"
"2023  Q2",1.16284932559433,"Q",10,"Food inflation","OLS-FixedCoeff","2025  Q4"
"2023  Q2",1.106894857101,"Q",11,"Food inflation","OLS-FixedCoeff","2026  Q1"
"2023  Q2",1.10884440514827,"Q",12,"Food inflation","OLS-FixedCoeff","2026  Q2"
"2023  Q3",1.67701488704211,"Q",0,"Food inflation","OLS-FixedCoeff","2023  Q3"
"2023  Q3",1.87638859290483,"Q",1,"Food inflation","OLS-FixedCoeff","2023  Q4"
"2023  Q3",0.719604063036064,"Q",2,"Food inflation","OLS-FixedCoeff","2024  Q1"
"2023  Q3",0.633573634919882,"Q",3,"Food inflation","OLS-FixedCoeff","2024  Q2"
"2023  Q3",0.41805749568839,"Q",4,"Food inflation","OLS-FixedCoeff","2024  Q3"
"2023  Q3",0.608739723653693,"Q",5,"Food inflation","OLS-FixedCoeff","2024  Q4"
"2023  Q3",1.09637903259974,"Q",6,"Food inflation","OLS-FixedCoeff","2025  Q1"
"2023  Q3",0.824378703174471,"Q",7,"Food inflation","OLS-FixedCoeff","2025  Q2"
"2023  Q3",1.18699613061357,"Q",8,"Food inflation","OLS-FixedCoeff","2025  Q3"
"2023  Q3",1.37562878938771,"Q",9,"Food inflation","OLS-FixedCoeff","2025  Q4"
"2023  Q3",1.30947872077565,"Q",10,"Food inflation","OLS-FixedCoeff","2026  Q1"
"2023  Q3",1.30969246872757,"Q",11,"Food inflation","OLS-FixedCoeff","2026  Q2"
"2023  Q3",1.51236306541147,"Q",12,"Food inflation","OLS-FixedCoeff","2026  Q3"
