"vintage_date","value","frequency","forecast_horizon","variable","source","date"
"2023  Q2",1.14333585241002,"Q",0,"Services inflation","OLS-FixedCoeff","2023  Q2"
"2023  Q2",0.965213582386227,"Q",1,"Services inflation","OLS-FixedCoeff","2023  Q3"
"2023  Q2",0.870729586619807,"Q",2,"Services inflation","OLS-FixedCoeff","2023  Q4"
"2023  Q2",0.829762688885798,"Q",3,"Services inflation","OLS-FixedCoeff","2024  Q1"
"2023  Q2",0.793286441983517,"Q",4,"Services inflation","OLS-FixedCoeff","2024  Q2"
"2023  Q2",0.790886093875586,"Q",5,"Services inflation","OLS-FixedCoeff","2024  Q3"
"2023  Q2",0.829099448409031,"Q",6,"Services inflation","OLS-FixedCoeff","2024  Q4"
"2023  Q2",0.882921904825167,"Q",7,"Services inflation","OLS-FixedCoeff","2025  Q1"
"2023  Q2",0.934119430946268,"Q",8,"Services inflation","OLS-FixedCoeff","2025  Q2"
"2023  Q2",0.965269812023529,"Q",9,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2023  Q2",0.972229480406928,"Q",10,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2023  Q2",0.999081464044646,"Q",11,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2023  Q2",1.09279261844263,"Q",12,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2023  Q3",1.60993250280194,"Q",0,"Services inflation","OLS-FixedCoeff","2023  Q3"
"2023  Q3",1.29566560355476,"Q",1,"Services inflation","OLS-FixedCoeff","2023  Q4"
"2023  Q3",1.06929644878688,"Q",2,"Services inflation","OLS-FixedCoeff","2024  Q1"
"2023  Q3",0.937250034628627,"Q",3,"Services inflation","OLS-FixedCoeff","2024  Q2"
"2023  Q3",0.882549599269366,"Q",4,"Services inflation","OLS-FixedCoeff","2024  Q3"
"2023  Q3",0.889651943938484,"Q",5,"Services inflation","OLS-FixedCoeff","2024  Q4"
"2023  Q3",0.922740311968427,"Q",6,"Services inflation","OLS-FixedCoeff","2025  Q1"
"2023  Q3",0.963312174601357,"Q",7,"Services inflation","OLS-FixedCoeff","2025  Q2"
"2023  Q3",0.987056113206815,"Q",8,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2023  Q3",0.988769030182197,"Q",9,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2023  Q3",1.00955604996927,"Q",10,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2023  Q3",1.10151953702552,"Q",11,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2023  Q3",1.12190021353907,"Q",12,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2023  Q4",1.27630382285548,"Q",0,"Services inflation","OLS-FixedCoeff","2023  Q4"
"2023  Q4",1.03697454160299,"Q",1,"Services inflation","OLS-FixedCoeff","2024  Q1"
"2023  Q4",0.916391417986626,"Q",2,"Services inflation","OLS-FixedCoeff","2024  Q2"
"2023  Q4",0.870145788416357,"Q",3,"Services inflation","OLS-FixedCoeff","2024  Q3"
"2023  Q4",0.882834217895139,"Q",4,"Services inflation","OLS-FixedCoeff","2024  Q4"
"2023  Q4",0.917080392565125,"Q",5,"Services inflation","OLS-FixedCoeff","2025  Q1"
"2023  Q4",0.958990622852208,"Q",6,"Services inflation","OLS-FixedCoeff","2025  Q2"
"2023  Q4",0.983440850099612,"Q",7,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2023  Q4",0.985355610194885,"Q",8,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2023  Q4",1.00493706995645,"Q",9,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2023  Q4",1.09748788537896,"Q",10,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2023  Q4",1.11828017668094,"Q",11,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2023  Q4",1.06874400305893,"Q",12,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2024  Q1",1.23456021257879,"Q",0,"Services inflation","OLS-FixedCoeff","2024  Q1"
"2024  Q1",1.04498292265538,"Q",1,"Services inflation","OLS-FixedCoeff","2024  Q2"
"2024  Q1",0.939090632952861,"Q",2,"Services inflation","OLS-FixedCoeff","2024  Q3"
"2024  Q1",0.921733161784558,"Q",3,"Services inflation","OLS-FixedCoeff","2024  Q4"
"2024  Q1",0.947759311066581,"Q",4,"Services inflation","OLS-FixedCoeff","2025  Q1"
"2024  Q1",0.983313718067443,"Q",5,"Services inflation","OLS-FixedCoeff","2025  Q2"
"2024  Q1",1.0053897020484,"Q",6,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2024  Q1",1.00232476630702,"Q",7,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2024  Q1",1.01498858713336,"Q",8,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2024  Q1",1.10287781657353,"Q",9,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2024  Q1",1.12445141352091,"Q",10,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2024  Q1",1.07464846889904,"Q",11,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2024  Q1",1.00383598895,"Q",12,"Services inflation","OLS-FixedCoeff","2027  Q1"
"2024  Q2",1.00573621896905,"Q",0,"Services inflation","OLS-FixedCoeff","2024  Q2"
"2024  Q2",0.892831641224378,"Q",1,"Services inflation","OLS-FixedCoeff","2024  Q3"
"2024  Q2",0.895942212019864,"Q",2,"Services inflation","OLS-FixedCoeff","2024  Q4"
"2024  Q2",0.930612962302027,"Q",3,"Services inflation","OLS-FixedCoeff","2025  Q1"
"2024  Q2",0.969239103270237,"Q",4,"Services inflation","OLS-FixedCoeff","2025  Q2"
"2024  Q2",0.993105370341719,"Q",5,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2024  Q2",0.994149885865151,"Q",6,"Services inflation","OLS-FixedCoeff","2025  Q4"
