"date","vintage_date","value","frequency","forecast_horizon","variable"
"1990  Q3","2023  Q2",1.16122911704648,"Q",-131,"Core goods inflation"
"1990  Q4","2023  Q2",1.1485625453541,"Q",-130,"Core goods inflation"
"1991  Q1","2023  Q2",0.828819340275127,"Q",-129,"Core goods inflation"
"1991  Q2","2023  Q2",1.88877977414718,"Q",-128,"Core goods inflation"
"1991  Q3","2023  Q2",1.29401849901965,"Q",-127,"Core goods inflation"
"1991  Q4","2023  Q2",1.02265633240522,"Q",-126,"Core goods inflation"
"1992  Q1","2023  Q2",0.779573733860241,"Q",-125,"Core goods inflation"
"1992  Q2","2023  Q2",-0.027378451166598,"Q",-124,"Core goods inflation"
"1992  Q3","2023  Q2",0.0690925594068972,"Q",-123,"Core goods inflation"
"1992  Q4","2023  Q2",-0.157079163701751,"Q",-122,"Core goods inflation"
"1993  Q1","2023  Q2",-0.39327047707354,"Q",-121,"Core goods inflation"
"1993  Q2","2023  Q2",0.357799998903891,"Q",-120,"Core goods inflation"
"1993  Q3","2023  Q2",0.530490122697221,"Q",-119,"Core goods inflation"
"1993  Q4","2023  Q2",-0.143183183964383,"Q",-118,"Core goods inflation"
"1994  Q1","2023  Q2",0.0901316655100915,"Q",-117,"Core goods inflation"
"1994  Q2","2023  Q2",-0.310754629229641,"Q",-116,"Core goods inflation"
"1994  Q3","2023  Q2",-0.217742639010372,"Q",-115,"Core goods inflation"
"1994  Q4","2023  Q2",0.0313948348884248,"Q",-114,"Core goods inflation"
"1995  Q1","2023  Q2",0.493109155920255,"Q",-113,"Core goods inflation"
"1995  Q2","2023  Q2",0.281618924586117,"Q",-112,"Core goods inflation"
"1995  Q3","2023  Q2",0.389315606832734,"Q",-111,"Core goods inflation"
"1995  Q4","2023  Q2",0.0434121887595762,"Q",-110,"Core goods inflation"
"1996  Q1","2023  Q2",0.204562896612811,"Q",-109,"Core goods inflation"
"1996  Q2","2023  Q2",0.164850931594455,"Q",-108,"Core goods inflation"
"1996  Q3","2023  Q2",0.0735837789980792,"Q",-107,"Core goods inflation"
"1996  Q4","2023  Q2",0.202514489415131,"Q",-106,"Core goods inflation"
"1997  Q1","2023  Q2",-0.207870540080074,"Q",-105,"Core goods inflation"
"1997  Q2","2023  Q2",-0.227273744073087,"Q",-104,"Core goods inflation"
"1997  Q3","2023  Q2",0.0359035643621073,"Q",-103,"Core goods inflation"
