"date","vintage_date","value","frequency","forecast_horizon","variable"
"1990  Q3","2023  Q2",1.66563539303226,"Q",-131,"Food inflation"
"1990  Q4","2023  Q2",1.90592800075418,"Q",-130,"Food inflation"
"1991  Q1","2023  Q2",1.13392609630555,"Q",-129,"Food inflation"
"1991  Q2","2023  Q2",3.0323719855338,"Q",-128,"Food inflation"
"1991  Q3","2023  Q2",1.07442446302761,"Q",-127,"Food inflation"
"1991  Q4","2023  Q2",1.39162263333623,"Q",-126,"Food inflation"
"1992  Q1","2023  Q2",0.869594120024956,"Q",-125,"Food inflation"
"1992  Q2","2023  Q2",0.453947583457581,"Q",-124,"Food inflation"
"1992  Q3","2023  Q2",0.226894583714538,"Q",-123,"Food inflation"
"1992  Q4","2023  Q2",1.21373976554618,"Q",-122,"Food inflation"
"1993  Q1","2023  Q2",0.65520887948494,"Q",-121,"Food inflation"
"1993  Q2","2023  Q2",0.794906844926901,"Q",-120,"Food inflation"
"1993  Q3","2023  Q2",1.06169322725435,"Q",-119,"Food inflation"
"1993  Q4","2023  Q2",0.00254329130036267,"Q",-118,"Food inflation"
"1994  Q1","2023  Q2",0.403696403574845,"Q",-117,"Food inflation"
"1994  Q2","2023  Q2",0.502191591802159,"Q",-116,"Food inflation"
"1994  Q3","2023  Q2",0.533534098450952,"Q",-115,"Food inflation"
"1994  Q4","2023  Q2",0.642038620446542,"Q",-114,"Food inflation"
"1995  Q1","2023  Q2",1.53036452775775,"Q",-113,"Food inflation"
"1995  Q2","2023  Q2",0.969488707702006,"Q",-112,"Food inflation"
"1995  Q3","2023  Q2",1.26564143211179,"Q",-111,"Food inflation"
"1995  Q4","2023  Q2",0.795103234508794,"Q",-110,"Food inflation"
"1996  Q1","2023  Q2",1.2918024558719,"Q",-109,"Food inflation"
"1996  Q2","2023  Q2",0.922692450596541,"Q",-108,"Food inflation"
"1996  Q3","2023  Q2",0.230932483209464,"Q",-107,"Food inflation"
"1996  Q4","2023  Q2",-0.176888125647142,"Q",-106,"Food inflation"
"1997  Q1","2023  Q2",-0.0622714030501721,"Q",-105,"Food inflation"
"1997  Q2","2023  Q2",0.469012394939903,"Q",-104,"Food inflation"
"1997  Q3","2023  Q2",1.06831988229939,"Q",-103,"Food inflation"
"1997  Q4","2023  Q2",0.559609495197654,"Q",-102,"Food inflation"
"1998  Q1","2023  Q2",0.0327087396832781,"Q",-101,"Food inflation"
"1998  Q2","2023  Q2",0.717221098877359,"Q",-100,"Food inflation"
"1998  Q3","2023  Q2",1.0454300379257,"Q",-99,"Food inflation"
"1998  Q4","2023  Q2",0.873968736099465,"Q",-98,"Food inflation"
"1999  Q1","2023  Q2",0.888650185626912,"Q",-97,"Food inflation"
"1999  Q2","2023  Q2",-0.211342400964425,"Q",-96,"Food inflation"
"1999  Q3","2023  Q2",-0.0379292756265301,"Q",-95,"Food inflation"
"1999  Q4","2023  Q2",0.306748043177098,"Q",-94,"Food inflation"
"2000  Q1","2023  Q2",-0.30276578602544,"Q",-93,"Food inflation"
"2000  Q2","2023  Q2",0.651869864538312,"Q",-92,"Food inflation"
"2000  Q3","2023  Q2",1.2691408766604,"Q",-91,"Food inflation"
"2000  Q4","2023  Q2",0.609245728434778,"Q",-90,"Food inflation"
"2001  Q1","2023  Q2",0.662595890716365,"Q",-89,"Food inflation"
"2001  Q2","2023  Q2",2.10910975335354,"Q",-88,"Food inflation"
"2001  Q3","2023  Q2",-0.0357589662393208,"Q",-87,"Food inflation"
"2001  Q4","2023  Q2",0.295098576215178,"Q",-86,"Food inflation"
"2002  Q1","2023  Q2",0.651303718974662,"Q",-85,"Food inflation"
"2002  Q2","2023  Q2",-0.646829705221788,"Q",-84,"Food inflation"
"2002  Q3","2023  Q2",0.398112747426726,"Q",-83,"Food inflation"
"2002  Q4","2023  Q2",0.14605447998418,"Q",-82,"Food inflation"
"2003  Q1","2023  Q2",0.142975609786105,"Q",-81,"Food inflation"
"2003  Q2","2023  Q2",0.67512872259022,"Q",-80,"Food inflation"
"2003  Q3","2023  Q2",0.852353832599638,"Q",-79,"Food inflation"
"2003  Q4","2023  Q2",0.6016175108392,"Q",-78,"Food inflation"
"2004  Q1","2023  Q2",-0.0285968873709879,"Q",-77,"Food inflation"
"2004  Q2","2023  Q2",-0.0932255563234143,"Q",-76,"Food inflation"
"2004  Q3","2023  Q2",0.0132730766348757,"Q",-75,"Food inflation"
"2004  Q4","2023  Q2",0.408051044311376,"Q",-74,"Food inflation"
"2005  Q1","2023  Q2",1.12320160664944,"Q",-73,"Food inflation"
"2005  Q2","2023  Q2",0.193329422237666,"Q",-72,"Food inflation"
"2005  Q3","2023  Q2",0.165354614719583,"Q",-71,"Food inflation"
"2005  Q4","2023  Q2",0.306213226741452,"Q",-70,"Food inflation"
"2006  Q1","2023  Q2",0.443548939496096,"Q",-69,"Food inflation"
"2006  Q2","2023  Q2",0.622631560479548,"Q",-68,"Food inflation"
"2006  Q3","2023  Q2",1.97723665439763,"Q",-67,"Food inflation"
"2006  Q4","2023  Q2",1.07746029728232,"Q",-66,"Food inflation"
"2007  Q1","2023  Q2",0.682257766369172,"Q",-65,"Food inflation"
"2007  Q2","2023  Q2",1.02443245211332,"Q",-64,"Food inflation"
"2007  Q3","2023  Q2",0.344659455327994,"Q",-63,"Food inflation"
"2007  Q4","2023  Q2",2.24318846874422,"Q",-62,"Food inflation"
"2008  Q1","2023  Q2",1.01814848409256,"Q",-61,"Food inflation"
"2008  Q2","2023  Q2",3.09945029856113,"Q",-60,"Food inflation"
"2008  Q3","2023  Q2",3.06495338097667,"Q",-59,"Food inflation"
"2008  Q4","2023  Q2",1.1955337132746,"Q",-58,"Food inflation"
"2009  Q1","2023  Q2",1.47639229725397,"Q",-57,"Food inflation"
"2009  Q2","2023  Q2",0.253627539544045,"Q",-56,"Food inflation"
"2009  Q3","2023  Q2",0.0640540075784429,"Q",-55,"Food inflation"
"2009  Q4","2023  Q2",0.682350172275442,"Q",-54,"Food inflation"
"2010  Q1","2023  Q2",1.53274855450115,"Q",-53,"Food inflation"
"2010  Q2","2023  Q2",0.870546059252228,"Q",-52,"Food inflation"
"2010  Q3","2023  Q2",1.23615731924575,"Q",-51,"Food inflation"
