"date","vintage_date","value","frequency","forecast_horizon","variable"
"1990  Q3","2023  Q2",2.4757726697933,"Q",-131,"Services inflation"
"1990  Q4","2023  Q2",2.5188609592719,"Q",-130,"Services inflation"
"1991  Q1","2023  Q2",2.13562551835926,"Q",-129,"Services inflation"
"1991  Q2","2023  Q2",4.06529263124558,"Q",-128,"Services inflation"
"1991  Q3","2023  Q2",1.82647126239027,"Q",-127,"Services inflation"
"1991  Q4","2023  Q2",1.81075739511613,"Q",-126,"Services inflation"
"1992  Q1","2023  Q2",1.44101836405887,"Q",-125,"Services inflation"
"1992  Q2","2023  Q2",1.29237785531964,"Q",-124,"Services inflation"
"1992  Q3","2023  Q2",1.15185696666267,"Q",-123,"Services inflation"
"1992  Q4","2023  Q2",1.24987654604985,"Q",-122,"Services inflation"
"1993  Q1","2023  Q2",1.2399215193071,"Q",-121,"Services inflation"
"1993  Q2","2023  Q2",1.26110394997558,"Q",-120,"Services inflation"
"1993  Q3","2023  Q2",1.04461734661233,"Q",-119,"Services inflation"
"1993  Q4","2023  Q2",1.04471217022978,"Q",-118,"Services inflation"
"1994  Q1","2023  Q2",0.660220871730722,"Q",-117,"Services inflation"
"1994  Q2","2023  Q2",0.574483547931191,"Q",-116,"Services inflation"
"1994  Q3","2023  Q2",0.774868191894495,"Q",-115,"Services inflation"
"1994  Q4","2023  Q2",0.747044781630768,"Q",-114,"Services inflation"
"1995  Q1","2023  Q2",0.899486446307836,"Q",-113,"Services inflation"
"1995  Q2","2023  Q2",0.835707506613397,"Q",-112,"Services inflation"
"1995  Q3","2023  Q2",0.731623290070072,"Q",-111,"Services inflation"
"1995  Q4","2023  Q2",0.766548544224105,"Q",-110,"Services inflation"
"1996  Q1","2023  Q2",0.744983339096141,"Q",-109,"Services inflation"
"1996  Q2","2023  Q2",0.788850806219457,"Q",-108,"Services inflation"
"1996  Q3","2023  Q2",0.984456354481989,"Q",-107,"Services inflation"
"1996  Q4","2023  Q2",0.826767952318591,"Q",-106,"Services inflation"
"1997  Q1","2023  Q2",0.961979195860839,"Q",-105,"Services inflation"
"1997  Q2","2023  Q2",0.878986846556486,"Q",-104,"Services inflation"
"1997  Q3","2023  Q2",0.974973140877552,"Q",-103,"Services inflation"
"1997  Q4","2023  Q2",0.99058559111932,"Q",-102,"Services inflation"
"1998  Q1","2023  Q2",0.911048758356394,"Q",-101,"Services inflation"
"1998  Q2","2023  Q2",0.9147727145078,"Q",-100,"Services inflation"
"1998  Q3","2023  Q2",0.849563997231737,"Q",-99,"Services inflation"
"1998  Q4","2023  Q2",0.892038059603137,"Q",-98,"Services inflation"
